brand, product_name, price
ASUS,ASUS ROG STRIX GeForce RTX 2070 SUPER Advanced Overclocked 8G GDDR6 HDMI DisplayPort USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2070S-A8G-GAMING),45633
MSI,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 Ti VENTUS GP 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,82559
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1650IX-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 MINI ITX Video Card,10921
XFX,XFX Radeon RX 5600 XT DirectX 12 RX-56XT6DFD6 6GB 192-Bit GDDR6 PCI Express 4.0 Video Card,21814
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,21841
MSI,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 4G OC 4GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,14023
EVGA,EVGA GeForce RTX 2060 SUPER SC BLACK GAMING Video Card| 08G-P4-3062-KR| 8GB GDDR6| Dual Fans,31250
GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,22622
Sapphire Tech,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,11770
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,9173 
EVGA,EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card| 06G-P4-1061-KR| 6GB GDDR6| Single Fan,16361
XFX,XFX RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6,14024
ASRock,ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card| RX5500XT PGD 8GO,15460
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,40756
GIGABYTE,GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N208SGAMINGOC WHITE-8GD Video Card,57202
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G Graphics Card| 170mm Compact Size| 6GB 192-Bit GDDR6| GV-N166SIXOC-6GD Video Card,17968
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,13679
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,31875
ASRock,ASRock Challenger D Radeon RX 5600 XT DirectX 12 RX5600XT CLD 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,20871
ZOTAC,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600K-10M,16704
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card| OVERCLOCKED| 2.75-Slot Extreme Cool Dual| 70C Gaming| RGB| Metal Backplate| 08G-P4-3175-KR| 8GB 15.5 GHz GDDR6,43629
GIGABYTE,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SGAMINGOC WHITE-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,42071
MSI,MSI GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,30219
GIGABYTE,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMINGOC WHITE-8GD REV2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,32466
GIGABYTE,GIGABYTE AORUS Radeon RX 5700 XT 8G Graphics Card| PCIe 4.0| 8GB 256-Bit GDDR6| GV-R57XTAORUS-8GD Video Card,35059
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,18202
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card| 2 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF2-8GD (Rev 3.0) Video Card,30370
EVGA,EVGA GeForce GTX 1660 BLACK GAMING Video Card| 06G-P4-1160-KR| 6GB GDDR5| Single Fan,17582
EVGA,EVGA GeForce RTX 2070 SUPER FTW3 ULTRA+ Video Card| OVERCLOCKED| 2.75 Slot Extreme Cool Triple + iCX2| 65C Gaming| RGB| Metal Backplate| 08G-P4-3377-KR| 8GB 15.5 GHz GDDR6,45966
ASRock,ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card| RX5700XT PGD 8GO,30902
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,33543
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card| SPECIAL EDITION,35059
EVGA,EVGA GeForce RTX 2080 SUPER XC GAMING Video Card| 08G-P4-3182-KR| 8GB GDDR6| RGB LED| Metal Backplate,55315
ASUS,ASUS GeForce GTX 1660 SUPER Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660S-O6G),17779
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N207SWF3OC-8GD Video Card,37963
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,32721
